mdntf_no,drgnm_no,herb_name,representative_name,drgnm_raw
1,158,당귀,당귀,"당귀(當歸),참당귀"
1,158,참당귀,당귀,"당귀(當歸),참당귀"
2,1,가근,가근,가근(茄根)
3,2,가자,가자,가자(訶子)
4,3,갈근,갈근,"갈근(葛根), 칡뿌리"
4,3,칡뿌리,갈근,"갈근(葛根), 칡뿌리"
5,4,갈만,갈만,"갈만(葛蔓),칡줄기"
5,4,칡줄기,갈만,"갈만(葛蔓),칡줄기"
6,5,갈화,갈화,"갈화(葛花),갈조화(葛條花),칡꽃"
6,5,갈조화,갈화,"갈화(葛花),갈조화(葛條花),칡꽃"
6,5,칡꽃,갈화,"갈화(葛花),갈조화(葛條花),칡꽃"
7,6,감국,감국,"감국(甘菊),야국(野菊),야국화(野菊花),들국화,고의,국화(菊花)"
7,6,야국,감국,"감국(甘菊),야국(野菊),야국화(野菊花),들국화,고의,국화(菊花)"
7,6,야국화,감국,"감국(甘菊),야국(野菊),야국화(野菊花),들국화,고의,국화(菊花)"
7,6,들국화,감국,"감국(甘菊),야국(野菊),야국화(野菊花),들국화,고의,국화(菊花)"
7,6,고의,감국,"감국(甘菊),야국(野菊),야국화(野菊花),들국화,고의,국화(菊花)"
7,6,국화,감국,"감국(甘菊),야국(野菊),야국화(野菊花),들국화,고의,국화(菊花)"
8,7,감송향,감송향,"감송향(甘松香),감송(甘松)"
8,7,감송,감송향,"감송향(甘松香),감송(甘松)"
9,8,감수,감수,감수(甘遂)
10,9,감초,감초,감초(甘草)
11,9,감초,감초,감초(甘草)
12,9,감초,감초,감초(甘草)
13,13,강판귀,강판귀,강판귀(杠板歸)
14,14,강향,강향,"강향(降香),강진향(降眞香)"
14,14,강진향,강향,"강향(降香),강진향(降眞香)"
15,15,강활,강활,"강활(羌活),산수근채(山水芹菜),강호리뿌리"
15,15,산수근채,강활,"강활(羌活),산수근채(山水芹菜),강호리뿌리"
15,15,강호리뿌리,강활,"강활(羌活),산수근채(山水芹菜),강호리뿌리"
16,15,강활,강활,강활(羌活)
17,15,강활,강활,강활(羌活)
18,16,강황,강황,"강황(薑黃),울금(鬱金)"
18,16,울금,강황,"강황(薑黃),울금(鬱金)"
19,17,개자,개자,"개자(芥子),겨자"
19,17,겨자,개자,"개자(芥子),겨자"
20,17,개자,개자,"개자(芥子),백개자(白芥子)"
20,17,백개자,개자,"개자(芥子),백개자(白芥子)"
21,19,갱미,갱미,갱미(粳米)
22,20,거수,거수,"거수(欅樹), 느티나무속줄기, 느티나무속심"
22,20,느티나무속줄기,거수,"거수(欅樹), 느티나무속줄기, 느티나무속심"
22,20,느티나무속심,거수,"거수(欅樹), 느티나무속줄기, 느티나무속심"
23,21,건강,건강,"건강(乾薑),마른생강"
23,21,마른생강,건강,"건강(乾薑),마른생강"
24,263,미사인,미사인,"미사인,건사인(建砂仁)"
24,263,건사인,미사인,"미사인,건사인(建砂仁)"
25,24,건율,건율,"건율(乾栗),율자(栗子),밤,건률"
25,24,율자,건율,"건율(乾栗),율자(栗子),밤,건률"
25,24,밤,건율,"건율(乾栗),율자(栗子),밤,건률"
25,24,건률,건율,"건율(乾栗),율자(栗子),밤,건률"
26,24,건율,건율,"건율(乾栗),밤,건률"
26,24,밤,건율,"건율(乾栗),밤,건률"
26,24,건률,건율,"건율(乾栗),밤,건률"
27,26,건칠,건칠,"건칠(乾漆),칠(漆)"
27,26,칠,건칠,"건칠(乾漆),칠(漆)"
28,27,검인,검인,"검인(芡仁), 검실(芡實)"
28,27,검실,검인,"검인(芡仁), 검실(芡實)"
29,28,겐티아나,겐티아나,겐티아나
30,30,견우자,견우자,"견우자(牽牛子),흑축(黑丑),나팔꽃씨"
30,30,흑축,견우자,"견우자(牽牛子),흑축(黑丑),나팔꽃씨"
30,30,나팔꽃씨,견우자,"견우자(牽牛子),흑축(黑丑),나팔꽃씨"
31,30,견우자,견우자,"견우자(牽牛子),흑축(黑丑)"
31,30,흑축,견우자,"견우자(牽牛子),흑축(黑丑)"
32,31,결명자,결명자,결명자(決明子)
33,31,결명자,결명자,결명자(決明子)
34,33,경마자,경마자,경마자(苘麻子)
35,34,경천,경천,경천(景天)
36,34,경천,경천,경천(景天)
38,34,경천,경천,경천(景天)
39,34,경천,경천,경천(景天)
40,35,계관화,계관화,"계관화(鷄冠花),맨드라미꽃"
